,Location,2020-06-01 00:00:00,2020-05-31 00:00:00,2020-05-30 00:00:00,2020-05-29 00:00:00,2020-05-28 00:00:00,2020-05-27 00:00:00,2020-05-26 00:00:00,2020-05-25 00:00:00,2020-05-24 00:00:00,2020-05-23 00:00:00,2020-05-22 00:00:00,2020-05-21 00:00:00,2020-05-20 00:00:00,2020-05-19 00:00:00,2020-05-18 00:00:00,2020-05-17 00:00:00,2020-05-16 00:00:00,2020-05-15 00:00:00,2020-05-14 00:00:00,2020-05-13 00:00:00,2020-05-12 00:00:00,2020-05-11 00:00:00,2020-05-10 00:00:00,2020-05-09 00:00:00,2020-05-08 00:00:00,2020-05-07 00:00:00,2020-05-06 00:00:00,2020-05-05 00:00:00,2020-05-04 00:00:00,2020-05-03 00:00:00,2020-05-02 00:00:00,2020-05-01 00:00:00,2020-04-30 00:00:00,2020-04-29 00:00:00,2020-04-28 00:00:00,2020-04-27 00:00:00,2020-04-26 00:00:00,2020-04-25 00:00:00,2020-04-24 00:00:00,2020-04-23 00:00:00,2020-04-22 00:00:00,2020-04-21 00:00:00,2020-04-20 00:00:00,2020-04-19 00:00:00,2020-04-18 00:00:00,2020-04-17 00:00:00,2020-04-16 00:00:00,2020-04-15 00:00:00,2020-04-14 00:00:00,2020-04-13 00:00:00,2020-04-12 00:00:00,2020-04-11 00:00:00,2020-04-10 00:00:00,2020-04-09 00:00:00,2020-04-08 00:00:00,2020-04-07 00:00:00,2020-04-06 00:00:00,2020-04-05 00:00:00,2020-04-04 00:00:00,2020-04-03 00:00:00,2020-04-02 00:00:00,2020-04-01 00:00:00,2020-03-31 00:00:00,2020-03-30 00:00:00,2020-03-29 00:00:00,2020-03-28 00:00:00,2020-03-27 00:00:00,2020-03-26 00:00:00,2020-03-25 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-03-22 00:00:00,2020-03-21 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-03-18 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-15 00:00:00,2020-03-14 00:00:00,2020-03-13 00:00:00,2020-03-12 00:00:00,2020-03-11 00:00:00,2020-03-10 00:00:00,2020-03-09 00:00:00,2020-03-08 00:00:00
37,Manikganj,0,8,0,1,1,2,17,,34,10,11,,0,20,,9,0,0,0,,0,1,0,0,0,0,4,2,0,0,0,1,0,6,0,3,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Meherpur,3,7,4,1,1,0,0,,4,3,0,,0,0,,0,0,0,0,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Moulvibazar,0,-3,0,0,0,9,0,,1,27,27,,0,0,,2,0,0,1,,0,3,3,0,1,0,8,2,2,0,5,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Munshiganj,0,59,0,40,3,0,74,,0,149,32,,17,54,,32,0,14,66,,1,0,4,2,32,8,9,34,1,4,10,2,1,27,4,6,10,0,0,2,7,21,0,0,6,1,5,0,4,3,3,3,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mymensingh,0,2,0,65,15,9,1,,19,5,24,,11,45,,11,8,14,16,,13,12,9,8,3,3,29,3,16,5,0,2,18,8,9,16,5,19,0,5,23,7,12,2,1,9,2,0,2,0,0,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Naogaon,15,64,13,0,0,0,1,,0,47,1,,8,0,,0,5,7,0,,0,8,1,0,7,0,0,1,0,0,1,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Narail,4,0,0,0,0,1,0,,0,2,4,,3,0,,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Narayanganj,6,90,0,113,27,1,110,,35,105,84,,74,45,,37,35,46,59,,43,45,21,41,58,6,17,34,14,20,21,43,60,14,150,74,31,28,34,24,39,82,1,77,20,34,41,50,20,37,24,8,16,13,46,15,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
45,Narsingdi,0,5,0,0,1,0,0,,0,0,0,,1,0,,1,0,0,1,,0,1,0,0,4,0,1,12,2,0,1,6,3,0,0,0,1,0,0,5,0,1,30,12,28,1,36,0,8,16,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Natore,0,5,0,0,2,0,1,,0,0,6,,0,30,,0,0,0,1,,0,0,1,0,1,0,1,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Netrokona,0,1,0,0,1,4,0,,5,27,54,,8,4,,17,2,7,1,,11,2,0,4,1,1,10,1,10,9,0,3,0,2,2,0,0,3,0,0,4,4,0,2,5,1,2,2,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Nilphamari,21,0,10,0,0,0,9,,3,16,9,,0,1,,2,7,0,0,,2,0,0,6,4,0,6,2,7,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,2,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Noakhali,43,52,55,41,61,0,39,,5,93,81,,31,55,,10,14,20,10,,11,18,3,0,4,1,1,4,2,6,0,3,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pabna,0,7,0,0,1,0,1,,0,7,1,,8,1,,1,0,0,0,,0,0,2,0,0,0,1,4,1,0,0,0,2,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Panchagarh,2,0,9,0,0,0,0,,5,5,10,,0,5,,0,4,0,1,,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pirojpur,0,1,0,1,0,1,0,,1,14,0,,0,0,,0,0,0,0,,0,0,1,6,0,0,0,-10,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Potuakhali,0,42,0,0,4,0,0,,0,6,1,,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,6,0,3,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Rajbari,0,20,0,0,2,0,1,,30,-1,3,,6,0,,0,0,3,1,,0,0,0,0,0,0,1,3,0,0,0,2,3,0,0,0,2,1,0,2,0,2,1,0,0,0,1,0,0,0,0,5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Rajshahi,0,12,0,2,1,2,6,,1,-2,11,,4,2,,1,1,3,0,,0,1,0,0,0,0,1,4,0,1,0,1,0,9,0,1,0,1,0,0,0,4,1,0,0,1,1,1,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Rangamati,1,0,0,0,2,0,3,,10,3,3,,17,0,,1,1,1,20,,0,0,0,0,0,4,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Rangpur,29,12,6,0,15,8,12,,3,2,44,,39,14,,59,40,17,13,,9,6,8,31,0,7,7,13,12,5,7,7,3,0,7,1,2,3,5,10,2,1,3,1,0,1,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Satkhira,0,3,0,0,3,2,1,,1,3,3,,0,24,,1,0,0,1,,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Shariatpur,4,1,0,0,30,0,9,,0,-1,7,,1,2,,4,0,1,6,,-5,8,0,0,2,1,10,4,5,-4,9,0,6,0,0,0,8,3,0,0,3,0,1,0,1,0,1,0,4,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sherpur,0,1,0,0,3,2,0,,2,12,1,,1,23,,1,0,1,1,,0,3,6,0,2,1,1,0,0,0,0,1,0,2,0,4,5,0,0,0,0,6,2,0,6,0,2,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sirajganj,5,15,1,1,1,1,1,,6,0,0,,1,1,,0,1,0,0,,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sunamganj,0,0,17,0,6,0,13,,7,18,7,,6,0,,2,1,0,0,,5,0,1,2,0,0,0,2,0,0,4,1,0,2,11,1,1,0,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sylhet,71,55,0,0,60,19,18,,40,107,0,,0,0,,8,1,0,0,,3,0,8,0,1,0,3,6,0,0,0,0,2,0,2,2,1,0,5,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Tangail,0,0,0,0,1,0,0,,1,6,1,,2,1,,5,0,0,3,,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,1,1,0,5,1,2,3,0,1,0,0,0,2,0,5,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Thakurgaon,4,0,0,0,0,0,2,,10,10,7,,3,2,,0,3,0,0,,1,0,0,0,3,0,1,0,2,0,0,1,0,1,7,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,total,2381,2545,1764,2523,2029,1541,1166,1975,1532,1873,1694,1773,1617,1251,1602,1273,930,1202,1041,1162,969,1034,887,636,709,706,790,786,688,665,552,571,564,641,549,497,464,309,503,414,390,434,492,312,306,266,341,219,209,182,139,58,94,112,54,41,35,18,9,5,2,3,2,0,0,0,5,5,0,6,6,3,4,2,4,4,2,3,0,2,0,0,0,0,0,3
